OSEBuildingID,DataYear,PropertyName,TaxParcelIdentificationNumber,CouncilDistrictCode,DefaultData,ComplianceStatus,Seattle Police Department Micro Community Policing Plan Areas,SPD Beats,Address,BuildingType,City,ENERGYSTARScore,GHGEmissions(MetricTonsCO2e),LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,ListOfAllPropertyUseTypes,Longitude,Neighborhood,NumberofBuildings,NumberofFloors,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),State,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ZipCode,Age
1,2016,Mayflower park hotel,0659000030,7,False,Compliant,14.0,31.0,405 Olive way,NonResidential,Seattle,60.0,249.98,Hotel,88434.0,47.6122,Hotel,-122.33798999999999,DOWNTOWN,1.0,12.0,Hotel,88434.0,0.0,88434.0,,,7226362.5,WA,,,98101.0,94.0
10,2016,Camlin,0660000825,7,False,Compliant,14.0,31.0,1619 9th Avenue,NonResidential,Seattle,27.0,176.14,Hotel,81352.0,47.6139,Hotel,-122.33283,DOWNTOWN,1.0,11.0,Hotel,83008.0,0.0,83008.0,,,5758795.0,WA,,,98101.0,95.0
100,2016,City Place III - SEDO,1983200325,7,False,Compliant,56.0,10.0,551 Boren Ave. North,NonResidential,Seattle,96.0,138.85,Office,261826.0,47.62424,"Office, Other, Parking, Retail Store",-122.33646,LAKE UNION,1.0,5.0,Large Office,316306.0,0.0,316306.0,Parking,150726.0,13795954.0,WA,Other,15139.0,98109.0,11.0
102,2016,Residence Inn Seattle - Lake Union,1984200065,3,False,Compliant,56.0,10.0,800 Fairview Ave. N,NonResidential,Seattle,37.0,526.85,Hotel,235788.0,47.62642,"Hotel, Parking",-122.33325,LAKE UNION,1.0,7.0,Hotel,238097.0,44766.0,282863.0,Parking,51537.0,19459304.0,WA,,,98109.0,31.0
103,2016,Key Arena,1985200003,7,False,Compliant,50.0,40.0,334 1st Ave. N,Nonresidential COS,Seattle,,607.41,Other,368000.0,47.62208,Other,-122.35398,MAGNOLIA / QUEEN ANNE,1.0,1.0,Other,389000.0,0.0,389000.0,,,23658978.0,WA,,,98109.0,59.0
104,2016,Bagley Wright Theatre,1985200003,7,False,Compliant,50.0,40.0,151 Mercer St.,Nonresidential COS,Seattle,,344.2,Other,65000.0,47.62208,Other,-122.35398,MAGNOLIA / QUEEN ANNE,1.0,1.0,Other,91213.0,0.0,91213.0,,,8141155.5,WA,,,98109.0,59.0
106,2016,Armory,1985200305,7,False,Compliant,50.0,40.0,305 Harrison St.,Nonresidential COS,Seattle,,804.2,Other,278500.0,47.62208,Other,-122.35398,MAGNOLIA / QUEEN ANNE,1.0,5.0,Other,396085.0,0.0,396085.0,,,20955026.0,WA,,,98109.0,83.0
107,2016,City Place IV - SEDO,1986200410,7,False,Compliant,56.0,10.0,333 Boren Ave. N.,NonResidential,Seattle,91.0,617.52,Office,598801.0,47.62112,"Office, Other, Parking",-122.33628999999999,LAKE UNION,1.0,12.0,Large Office,571329.0,0.0,571329.0,Parking,310699.0,39605888.0,WA,Other,26203.0,98109.0,11.0
11,2016,Paramount Theatre,0660000955,7,False,Compliant,14.0,31.0,911 Pine St,NonResidential,Seattle,,221.51,Other - Entertainment/Public Assembly,102761.0,47.61327,Other - Entertainment/Public Assembly,-122.33136,DOWNTOWN,1.0,8.0,Other,102761.0,0.0,102761.0,,,6298131.5,WA,,,98101.0,95.0
110,2016,Exhibition Hall,1988200440,7,False,Compliant,50.0,40.0,225 Mercer St.,Nonresidential COS,Seattle,,101.83,Other,52000.0,47.62395,Other,-122.35077,MAGNOLIA / QUEEN ANNE,1.0,2.0,Other,52000.0,0.0,52000.0,,,2726369.0,WA,,,98109.0,59.0
111,2016,Mercer Arena,1988200700,7,False,Compliant,50.0,40.0,363 Mercer St.,Nonresidential COS,Seattle,,6.11,Other,108000.0,47.62395,Other,-122.35077,MAGNOLIA / QUEEN ANNE,1.0,1.0,Other,60696.0,0.0,60696.0,,,875943.3125,WA,,,98109.0,93.0
112,2016,McCaw Hall,1988200700,7,False,Compliant,50.0,40.0,321 Mercer St.,Nonresidential COS,Seattle,,490.73,Other,296000.0,47.62395,Other,-122.35143000000001,MAGNOLIA / QUEEN ANNE,1.0,2.0,Other,262048.0,0.0,262048.0,,,20723248.0,WA,,,98109.0,93.0
113,2016,KCTS9,1988200705,7,False,Compliant,50.0,40.0,401 Mercer St,NonResidential,Seattle,,29.04,Office,45900.0,47.623909999999995,"Data Center, Distribution Center, Office, Parking, Retail Store",-122.34836999999999,MAGNOLIA / QUEEN ANNE,0.0,2.0,Small- and Mid-Sized Office,63888.0,2352.0,66240.0,Data Center,5181.0,4166306.25,WA,Distribution Center,4551.0,98109.0,35.0
114,2016,Bill and Melinda Gates Foundation,1988201155,7,False,Compliant,56.0,40.0,500 5th Ave N,NonResidential,Seattle,93.0,674.09,Office,729584.0,47.624190000000006,"Office, Other, Parking",-122.34443,MAGNOLIA / QUEEN ANNE,1.0,6.0,Large Office,616891.0,303707.0,920598.0,Parking,185014.0,36667044.0,WA,Other,6000.0,98109.0,11.0
115,2016,J.G. Scripps Building,1989200850,7,False,Compliant,50.0,40.0,221 1st Ave. W,NonResidential,Seattle,68.0,48.76,Office,48546.0,47.62053,"Office, Other, Parking",-122.35842,MAGNOLIA / QUEEN ANNE,1.0,4.0,Small- and Mid-Sized Office,50283.0,25930.0,76213.0,Parking,21454.0,3476212.5,WA,Other,2406.0,98033.0,51.0
116,2016,MEDITERRANEAN INN (ID#116),1989201125,7,False,Compliant,50.0,40.0,425 queen anne ave N.,NonResidential,Seattle,56.0,152.14,Hotel,59976.0,47.62291,"Hotel, Parking",-122.35708000000001,MAGNOLIA / QUEEN ANNE,1.0,6.0,Hotel,59976.0,36934.0,96910.0,Parking,36934.0,5155568.5,WA,,,98109.0,19.0
